scheduled_date,scheduled_time,board_id,title,description,image_url,link,alt_text,posted_at,pin_id,extra_images
2026-06-12,00:01,1137370149584773416,10 questions that turn a sauna night into a real gathering,"What turns a sauna circle into a gathering people remember? The questions you ask. We've pulled 10 from the Sauna Host workbook — designed for the heat, the cold, and the quiet between. This is a practice, not an event. Start the free 5-day course →",https://thesaunahost.com/images/pinterest/pin-09.jpg,https://thesaunahost.com/workbook?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=pin-09,Designed Pinterest pin listing 10 reflective questions for hosting a sauna gathering,manual-pre-existing,,
2026-06-15,09:00,1137370149584773420,Connection is the medicine,"The sauna and the cold are the capsule. What happens between people inside it is the practice. This is a practice, not an event. Try Revivery →",https://thesaunahost.com/images/pinterest/lifestyle-260109-066.jpg,https://thesaunahost.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=lifestyle-260109-066,Three members laughing together in a warmly-lit Revivery sauna,2026-06-12T11:34:45 via-chrome,1137370080934497657,
2026-06-16,09:00,1137370149584773424,The 4% that changes everything about hosting,"Most of hosting is invisible. The visible 4% — the temperature, the welcome, the questions you ask — is what determines whether people leave reset or just sweaty. Strong medicine in a supported container. See how to host →",https://thesaunahost.com/images/pinterest/pin-06.jpg,https://thesaunahost.com/lesson-1?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=pin-06,Designed pin about the small details that matter most when hosting a sauna gathering,manual-pre-existing,,
2026-06-15,15:00,1137370149584773421,Capacity builds over time,"We don't chase a feeling — we build a practice, session by session, breath by breath. You're not doing this alone. Try Revivery →",https://thesaunahost.com/images/pinterest/lifestyle-081525-054.jpg,https://thesaunahost.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=lifestyle-081525-054,Members in conversation during a Revivery contrast therapy session,2026-06-16T09:08:20 via-chrome,1137370080934777625,
2026-06-17,09:00,1137370149584773412,What happens in the 90 seconds after a cold plunge,"What you do in the 90 seconds after the plunge matters more than the plunge itself. This is where the nervous system integrates. The free Sauna Host course teaches the full ritual — heat, ice, breath, and what comes after. Start the free 5-day course →",https://thesaunahost.com/images/pinterest/pin-08.jpg,https://thesaunahost.com/lesson-1?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=pin-08,Designed pin about the 90 seconds following a cold plunge,manual-pre-existing,,
2026-06-16,09:00,1137370149584773420,The space between heat and cold,Where the nervous system resets. Where the conversation starts. Where the practice happens. Discover the practice →,https://thesaunahost.com/images/pinterest/lifestyle-081525-107.jpg,https://thesaunahost.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=lifestyle-081525-107,"Group around a cold plunge at Revivery, mid-conversation",2026-06-17T09:07:41-04:00 via-chrome,1137370080934849877,
2026-06-16,15:00,1137370149584773412,"Cold first, then heat — the order that changes the practice","Most people get the order wrong. Cold first, then heat is the sequence that turns recovery into ritual. We walk through the why and how in the free Sauna Host course — five short lessons on hosting contrast therapy with intention. Discover the practice →",https://thesaunahost.com/images/pinterest/pin-14.jpg,https://thesaunahost.com/lesson-1?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=pin-14,"Designed pin showing the contrast therapy sequence: cold first, then heat",2026-06-17T15:07:18-04:00 via-chrome,1137370080934870881,
2026-06-17,09:00,1137370149584773421,"Strong medicine, supported",We teach the practice in a container designed to hold it. The leads are trained. The space is intentional. The cold is real. Try Revivery →,https://thesaunahost.com/images/pinterest/lifestyle-081525-118.jpg,https://thesaunahost.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=lifestyle-081525-118,Member in stillness at the Revivery cold plunge,2026-06-18T09:09:16-04:00 via-chrome,1137370080934920874,
2026-06-17,15:00,1137370149584773414,Two breath patterns for two temperatures,"Box breathing for the heat — steady the nervous system. 4-7-8 for the cold — engage the parasympathetic. Two patterns, two temperatures, one practice. Capacity builds over time. Start the free 5-day course →",https://thesaunahost.com/images/pinterest/pin-07.jpg,https://thesaunahost.com/lesson-1?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=pin-07,Designed pin with two breath patterns labeled for sauna and cold plunge,2026-06-18T15:06:38-04:00 via-chrome,1137370080934942471,
2026-06-18,09:00,1137370149584773420,Breath is the bridge,"Between the heat and the cold, between effort and release, between you and the people you sit with. The free Sauna Host course teaches two breath patterns — one for each temperature. Discover the practice →",https://thesaunahost.com/images/pinterest/lifestyle-081525-082.jpg,https://thesaunahost.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=launch&utm_content=lifestyle-081525-082,Members in stillness during a Revivery sauna session,2026-06-19T09:08:27-04:00 via-chrome,1137370080934992203,
